nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,2020,08,0,1.338,0,1.338,7130,"0,00"
GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,2020,08,0,0,0,0,3596,"0,00"
ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,2020,08,4,2.696,1.256,2.700,20553,"6,11"
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2020,08,0,0,0,0,5642,"0,00"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2020,08,0,2.230,1.115,2.230,2821,"39,52"
ANDHIKA BAHTERA HOTEL,Marga Sari,Balikpapan Barat,Bintang 3,155,205,2020,08,0,0,0,0,4805,"0,00"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2020,08,0,0,0,0,4650,"0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2020,08,0,0,0,0,5735,"0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2020,08,0,1.077,828,1.077,4774,"17,34"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,2020,08,27,1.790,1.118,1.817,3069,"36,43"
NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,109,159,2020,08,0,3.652,2.029,3.652,3379,"60,05"
D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,2020,08,0,0,0,0,2263,"0,00"
PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,101,159,2020,08,0,599,558,599,3131,"17,82"
WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,27,37,2020,08,0,2.614,1.445,2.614,837,"172,64"
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2020,08,116,358,237,474,2635,"8,99"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,08,16,2.420,2.436,2.436,4805,"50,70"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2020,08,0,1.338,1.791,1.338,3038,"58,95"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2020,08,0,1.696,1.048,1.696,5146,"20,37"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,2020,08,22,5.424,3.122,5.446,930,"335,70"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,2020,08,0,1.590,1.478,1.590,2449,"60,35"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,08,0,1.333,743,1.333,4805,"15,46"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2020,08,0,0,0,0,1643,"0,00"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,2020,08,0,154,77,154,4123,"1,87"
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,112,172,2020,08,0,0,0,0,3472,"0,00"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2020,08,0,0,0,0,4805,"0,00"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,2020,08,0,642,421,642,3348,"12,57"
HER HOTEL & TRADE CENTER,Gn. Samarinda,Balikpapan Utara,Bintang 3,154,200,2020,08,0,1.077,828,1.077,4774,"17,34"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 2,73,73,2020,08,0,2.924,1.904,2.924,2263,"84,14"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2020,08,0,0,0,0,2511,"0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2020,08,0,0,0,0,1023,"0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,2020,08,0,5.424,1.740,5.424,3565,"48,81"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,2020,08,0,2.438,1.219,2.438,1085,"112,35"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,2020,08,0,585,410,585,1550,"26,45"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,2020,08,1,216,98,217,3131,"3,13"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,2020,08,31,71,102,102,3472,"2,94"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,2020,08,0,0,0,0,1767,"0,00"
